comment,Sentiment,processed,sentiment_fix
嗨，男孩未来更难了,0,嗨男孩未来更难了,0.5
自由价更高,0,自由价更高,1
卧槽，快乐得批爆！,0,卧槽快乐得批爆,0
身边有娃的都老了，你说呢,0,身边有娃的都老了你说呢,0
自由有钱有闲的我,0,自由有钱有闲的我,0
东方文艺复兴,2,东方文艺复兴,0
离婚需要冷静期 很麻烦 解决方案就是不结就完了,0,离婚需要冷静期 很麻烦 解决方案就是不结就完了,1
那可太快乐了,0,那可太快乐了,0
妄图把家庭当避风港的人，更要当心来自家庭的风雨雷电,0,妄图把家庭当避风港的人更要当心来自家庭的风雨雷电,1
33，女，超快乐,0,33女超快乐,0
多好啊多好啊 多生点男宝hhh,0,多好啊多好啊 多生点男宝hhh,0.5
晚婚晚育，你挑的嘛偶像,0,晚婚晚育你挑的嘛偶像,1
好,2,好,0
好好好,0,好好好,0
真的快乐！！！,0,真的快乐,0
人口数量和出生率下降是不是意味着河南高考的压力之后存在减轻的趋势？,0,人口数量和出生率下降是不是意味着河南高考的压力之后存在减轻的趋势,1
分析的太经典。,2,分析的太经典,1
遥遥领先,2,遥遥领先,1
好好好,0,好好好,0
俗称用脚投票,0,俗称用脚投票,0
遥遥领先,2,遥遥领先,1
女方也是这么说男方的，所以去尼玛的婚姻,0,女方也是这么说男方的所以去尼玛的婚姻,0
遥遥领先,2,遥遥领先,1
广东珠三角不会，是潮汕区的疯狂拉高,0,广东珠三角不会是潮汕区的疯狂拉高,0.5
三个孩子养，什么家庭啊,0,三个孩子养什么家庭啊,1
你不生有的是人生 这句话 可能是今年最棒的谐音梗,0,你不生有的是人生 这句话 可能是今年最棒的谐音梗,1
快乐的一批,0,快乐的一批,0
视频不敢说，我们心里有谱就行了,0,视频不敢说我们心里有谱就行了,0
还是太多了,0,还是太多了,0
扯，快递行业没有饱和，根本招不到人,0,扯快递行业没有饱和根本招不到人,0
细说女性朋友,2,细说女性朋友,0.5
我管你什么未来不未来我先把我自己过好再说,0,我管你什么未来不未来我先把我自己过好再说,1
太好了,2,太好了,0
保护,0,保护,0
说穿了就一个“钱”字！,0,说穿了就一个钱字,0
我同事一胎女想要个儿子二胎双胞胎女儿，现在一家人经济压力巨大他老婆经常吵着离婚,0,我同事一胎女想要个儿子二胎双胞胎女儿现在一家人经济压力巨大他老婆经常吵着离婚,1
主要是有手机，就是比女人和孩子好玩,0,主要是有手机就是比女人和孩子好玩,1
相当快乐,0,相当快乐,0
好耶,2,好耶,0
干脆别活了，结个婚那么多屁事,0,干脆别活了结个婚那么多屁事,0
我是因为自卑吧哈哈,2,我是因为自卑吧哈哈,1
当然快乐,0,当然快乐,0
那可太快乐了,0,那可太快乐了,0
快乐！,0,快乐,0
都读研去了,0,都读研去了,0.5
保护,0,保护,0
太妙了,0,太妙了,0
必须三连！,2,必须三连,0
不可能，绝对不可能,0,不可能绝对不可能,0
那特么是快乐的不行,0,那特么是快乐的不行,0
快乐踏马一批,0,快乐踏马一批,0
你不生有的是人生,0,你不生有的是人生,0.5
保护,0,保护,0
保护,0,保护,0
tmd结了婚也当丁克，生孩子赔钱赔死,0,tmd结了婚也当丁克生孩子赔钱赔死,0
品质提高的代表是你工作不好找了,2,品质提高的代表是你工作不好找了,0
确实,0,确实,0
我觉得挺快乐的哈哈哈哈哈,0,我觉得挺快乐的哈哈哈哈哈,0
8w最好,2,8w最好,0
是的，是真的快乐,0,是的是真的快乐,0
遥遥领先,2,遥遥领先,1
快不快乐不重要，只要自己不后悔就行了,0,快不快乐不重要只要自己不后悔就行了,0
最可怕的是，现在的年轻人不再理性。,0,最可怕的是现在的年轻人不再理性,1
好好好好好,0,好好好好好,0.5
但是不结婚不还是买房买车了,1,但是不结婚不还是买房买车了,0
是的，把快乐建立在他人痛苦上是不对的,0,是的把快乐建立在他人痛苦上是不对的,0
怎么还有八百万啊,0,怎么还有八百万啊,0
好耶！,2,好耶,0
不是解读，就是没安好心啊,0,不是解读就是没安好心啊,0.5
怎么还有这么多,0,怎么还有这么多,0
那最好了  希望你们说到做到别结婚 好让我这个未婚八零后看看,2,那最好了  希望你们说到做到别结婚 好让我这个未婚八零后看看,1
真的,0,真的,0
好好好,0,好好好,0
额……,0,额,0
意思是以前被你们忽悠着生的素质低喽,0,意思是以前被你们忽悠着生的素质低喽,0
很好,2,很好,0.5
保护,0,保护,0
