comment,sentiment_baidunlp,sentiment_snownlp,sentiment_Iemo
弹幕内容,2.0,0.6763762596161577,0.5
嗨，男孩未来更难了,2.0,0.8806135669570367,1.0
自由价更高,2.0,0.9922098449374491,0.0
卧槽，快乐得批爆！,2.0,0.7120341377527942,0.0
身边有娃的都老了，你说呢,0.0,0.40604753420292594,0.0
自由有钱有闲的我,2.0,0.8481180627265068,0.0
东方文艺复兴,2.0,0.5870372393348398,1.0
离婚需要冷静期 很麻烦 解决方案就是不结就完了,0.0,0.9666700868578847,0.0
那可太快乐了,2.0,0.8878520941412184,1.0
妄图把家庭当避风港的人，更要当心来自家庭的风雨雷电,0.0,0.9918571584712327,0.0
33，女，超快乐,2.0,0.9635732843589595,0.5
多好啊多好啊 多生点男宝hhh,2.0,0.8273314683185046,1.0
晚婚晚育，你挑的嘛偶像,2.0,0.9675877478817808,0.0
好,2.0,0.6558628208940429,0.0
好好好,2.0,0.6931978425614437,0.0
真的快乐！！！,2.0,0.8161320500667685,1.0
人口数量和出生率下降是不是意味着河南高考的压力之后存在减轻的趋势？,0.0,0.9536105505827581,1.0
分析的太经典。,2.0,0.9119102714321997,1.0
遥遥领先,2.0,0.9307284160946515,0.0
好好好,2.0,0.6931978425614437,0.0
俗称用脚投票,0.0,0.4386573972917417,1.0
遥遥领先,2.0,0.9307284160946515,0.0
女方也是这么说男方的，所以去尼玛的婚姻,0.0,0.575515486592336,1.0
遥遥领先,2.0,0.9307284160946515,0.5
广东珠三角不会，是潮汕区的疯狂拉高,0.0,0.7463917421935287,1.0
三个孩子养，什么家庭啊,0.0,0.9063032764803118,1.0
你不生有的是人生 这句话 可能是今年最棒的谐音梗,2.0,0.9971438705412916,0.0
快乐的一批,2.0,0.9242562487623878,0.0
视频不敢说，我们心里有谱就行了,0.0,0.09498237965500944,0.0
还是太多了,0.0,0.34387502381406,0.0
扯，快递行业没有饱和，根本招不到人,0.0,0.07059832024131263,0.5
细说女性朋友,2.0,0.8321411904546624,1.0
我管你什么未来不未来我先把我自己过好再说,0.0,0.9935305642477644,0.0
太好了,2.0,0.4734776023452153,0.0
保护,2.0,0.6153846153846152,0.0
说穿了就一个“钱”字！,0.0,0.22082291551473554,1.0
我同事一胎女想要个儿子二胎双胞胎女儿，现在一家人经济压力巨大他老婆经常吵着离婚,0.0,0.9995682996979725,1.0
