paragraphs,comment,time_happen,danmu_location,danmu_size,danmu_color,danmu_ture_time,danmu_mode,user_id,danmu_day_time,danmu_day,danmu_time_hour,danmu_time_month,danmu_time_day
"0.32500,1,25,16777215,1698036127,0,2ff4636e,1433989987048837888,10",韩国体验服,0.325,1,25,16777215,1698036127,0,2ff4636e,2023/10/23 12:42,2023/10/23,12,10,23
"143.64700,1,25,16777215,1698016745,0,8ced2b5f,1433827398058754048,10",也不一定，就我认识的人群里，二孩要女娃的比较多，但是三孩基本都是要男娃的。,143.647,1,25,16777215,1698016745,0,8ced2b5f,2023/10/23 7:19,2023/10/23,7,10,23
"140.43200,1,25,16777215,1698601921,0,f0a4a069,1438736214042821376,10",也挺好，这些女孩不会生在重男轻女的家庭,140.432,1,25,16777215,1698601921,0,f0a4a069,2023/10/30 1:52,2023/10/30,1,10,30
"43.58900,5,25,16707842,1698019923,0,d30b872,1433854057692420096,10",人与人的差别一直都很大，不能简单的用年龄分,43.589,5,25,16707842,1698019923,0,d30b872,2023/10/23 8:12,2023/10/23,8,10,23
"47.50600,1,25,16777215,1698019943,0,cf33f06a,1433854228576629504,10",只要你能吃苦，你会发现你有吃不完的苦,47.506,1,25,16777215,1698019943,0,cf33f06a,2023/10/23 8:12,2023/10/23,8,10,23
"521.75700,5,25,16777215,1698036786,0,7027473c,1433995518119301376,10",对，对我来说男扮女装也会快乐,521.757,5,25,16777215,1698036786,0,7027473c,2023/10/23 12:53,2023/10/23,12,10,23
"311.11500,1,25,16777215,1697993992,0,80bf9de5,1433636530483851520,10",口头奖励谁不会，给钱才是最实在的,311.115,1,25,16777215,1697993992,0,80bf9de5,2023/10/23 0:59,2023/10/23,0,10,23
"209.57200,5,25,15138834,1698115211,0,3e45c24f,1434653390600002304,10",轻舟已过万重山！！！,209.572,5,25,15138834,1698115211,0,3e45c24f,2023/10/24 10:40,2023/10/24,10,10,24
"380.73900,1,25,16777215,1698024056,0,5a4308a5,1433888725166835712,10",一起看的5000+  大家早上好,380.739,1,25,16777215,1698024056,0,5a4308a5,2023/10/23 9:20,2023/10/23,9,10,23
"148.83900,1,25,16777215,1698021446,0,e964ec9f,1433866835698134272,10",这不好说，至少我身边的哥们都是想要女儿的,148.839,1,25,16777215,1698021446,0,e964ec9f,2023/10/23 8:37,2023/10/23,8,10,23
